instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	grasshoppers,crickets,squirrels,rats,mosquitos	vermins
Use the Input below to identify the common property or characteristic shared by all these concepts.	amphibians,robins,mammals,amniotes,birds	vertebrates
Use the Input below to identify the common property or characteristic shared by all these concepts.	explosives,guns,cancer,tanks,grenade	very dangerous
Use the Input below to identify the common property or characteristic shared by all these concepts.	ssome violins,vacation to another country,many cars,space flights,electronic shop	very expensive
Use the Input below to identify the common property or characteristic shared by all these concepts.	arteries,buckets,drums,galleys,cups	vessels
Use the Input below to identify the common property or characteristic shared by all these concepts.	braves,borderlands,longest journeys,silver,night shifts	video games
Use the Input below to identify the common property or characteristic shared by all these concepts.	squash plants,bougainvilleas,squash,climbers,potato	vines
Use the Input below to identify the common property or characteristic shared by all these concepts.	sports,many people,explosions,history of humanity,sport	violent
Use the Input below to identify the common property or characteristic shared by all these concepts.	feline leukemia,yellow fevers,common cold,viral gastroenteritis,mononucleosis	viral infection
Use the Input below to identify the common property or characteristic shared by all these concepts.	courage,dependability,truth,charity,compassion	virtue
Use the Input below to identify the common property or characteristic shared by all these concepts.	honesty,compassion,charity,kind,loyal	virtues
Use the Input below to identify the common property or characteristic shared by all these concepts.	arboviruses,animal viruses,vectors,bacteriophage,aid	viruses
Use the Input below to identify the common property or characteristic shared by all these concepts.	eye drops,contacts,reading glasses,eyeglasses,monocle	vision aids
Use the Input below to identify the common property or characteristic shared by all these concepts.	telescope,camcorder,magnifying glass,magnifiers,binoculars	visual aids
Use the Input below to identify the common property or characteristic shared by all these concepts.	videos,body language,projections,graphic designs,conducting	visual communication
Use the Input below to identify the common property or characteristic shared by all these concepts.	posts,blinkers,rockets,beacons,windsocks	visual signals
Use the Input below to identify the common property or characteristic shared by all these concepts.	sidewalks,hikes,last miles,catwalks,foots	walks
Use the Input below to identify the common property or characteristic shared by all these concepts.	posters,painting,paintings,photograph,picture	wall decorations
Use the Input below to identify the common property or characteristic shared by all these concepts.	escarpments,attics,firewalls,wainscotings,prosceniums	walls
